Hardcoded English strings without .tr (excluding translation files and firebase_options.dart)
Total: 918

lib/main.dart:40 | in_en=no | Jovera Finance
lib/screens/mortgage/controller/mortgage_controller.dart:111 | in_en=no | Loan Amount: ${propertyPrice.value}, Payment Period: ${propertyPeriod.value} Years, Name: ${personalNameController.value.text}, Nationality: ${nationalityType.value}, Phone: ${mobileCountryCode.value.startsWith(
lib/screens/mortgage/controller/mortgage_controller.dart:111 | in_en=no | }${mobileCountryCode.value}${personalPhoneNumberController.value.text}, Email: ${personalEmailController.value.text}, Property Type: ${propertyType.value}, Property Location: ${propertyLocation.value}, Property Condition: ${propertyCondition.value}
lib/screens/mortgage/controller/mortgage_controller.dart:133 | in_en=no | pdf
lib/screens/mortgage/controller/mortgage_controller.dart:133 | in_en=no | application
lib/screens/mortgage/controller/mortgage_controller.dart:133 | in_en=no | image
lib/screens/mortgage/controller/mortgage_controller.dart:134 | in_en=no | jpg
lib/screens/mortgage/controller/mortgage_controller.dart:134 | in_en=no | jpeg
lib/screens/mortgage/controller/mortgage_controller.dart:141 | in_en=no | files
lib/screens/mortgage/controller/mortgage_controller.dart:343 | in_en=no | pdf
lib/screens/mortgage/controller/mortgage_controller.dart:360 | in_en=no | passport.${passportDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:368 | in_en=no | emiratesId.${emiratesIdDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:376 | in_en=no | trade_license.${tradeLicenseDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:384 | in_en=no | salary_certificate.${salaryCertificateDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:392 | in_en=no | bank_statement.${bankStatementDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:400 | in_en=no | etihad_bureau.${etihadBureauDocument.value.filePath?.split('.').last}
lib/screens/mortgage/controller/mortgage_controller.dart:408 | in_en=no | VAT_payments.${fourVATPaymentsDocument.value.filePath?.split('.').last}
lib/screens/mortgage/common/mortgage_summary_view.dart:29 | in_en=yes | Summary
lib/screens/mortgage/common/mortgage_summary_view.dart:43 | in_en=yes | Loan Amount
lib/screens/mortgage/common/mortgage_summary_view.dart:47 | in_en=no | : ${controller.propertyPrice.value}
lib/screens/mortgage/common/mortgage_summary_view.dart:56 | in_en=yes | Payment Period
lib/screens/mortgage/common/mortgage_summary_view.dart:61 | in_en=no |  : ${controller.propertyPeriod.value} 
lib/screens/mortgage/common/mortgage_summary_view.dart:63 | in_en=yes | Years
lib/screens/mortgage/common/mortgage_summary_view.dart:68 | in_en=yes | Personal Information
lib/screens/mortgage/common/mortgage_summary_view.dart:75 | in_en=yes | Name
lib/screens/mortgage/common/mortgage_summary_view.dart:78 | in_en=no |  : ${controller.personalNameController.value.text}
lib/screens/mortgage/common/mortgage_summary_view.dart:86 | in_en=yes | Nationality
lib/screens/mortgage/common/mortgage_summary_view.dart:91 | in_en=no |  : ${controller.nationalityType.value.tr}
lib/screens/mortgage/common/mortgage_summary_view.dart:98 | in_en=yes | Phone
lib/screens/mortgage/common/mortgage_summary_view.dart:101 | in_en=no |  : ${controller.mobileCountryCode.value.startsWith(
lib/screens/mortgage/common/mortgage_summary_view.dart:101 | in_en=no | }${controller.mobileCountryCode.value}${controller.personalPhoneNumberController.value.text}
lib/screens/mortgage/common/mortgage_summary_view.dart:108 | in_en=yes | Email
lib/screens/mortgage/common/mortgage_summary_view.dart:111 | in_en=no |  : ${controller.personalEmailController.value.text}
lib/screens/mortgage/common/mortgage_summary_view.dart:118 | in_en=yes | Property Information
lib/screens/mortgage/common/mortgage_summary_view.dart:126 | in_en=yes | Property Type
lib/screens/mortgage/common/mortgage_summary_view.dart:131 | in_en=no |  : ${controller.propertyType.value.tr}
lib/screens/mortgage/common/mortgage_summary_view.dart:139 | in_en=yes | Property Location
lib/screens/mortgage/common/mortgage_summary_view.dart:144 | in_en=no |  : ${controller.propertyLocation.value.tr}
lib/screens/mortgage/common/mortgage_summary_view.dart:152 | in_en=yes | Property Condition
lib/screens/mortgage/common/mortgage_summary_view.dart:157 | in_en=no |  : ${controller.propertyCondition.value.tr}
lib/screens/mortgage/common/mortgage_summary_view.dart:175 | in_en=yes | Submit
lib/screens/mortgage/common/mortgage_landing_view.dart:56 | in_en=yes | Achieve your dream of owning your home with flexible & easy Mortgage financing.
lib/screens/mortgage/common/mortgage_landing_view.dart:68 | in_en=no | hjhgjhj
lib/screens/mortgage/common/mortgage_landing_view.dart:81 | in_en=yes | Apply
lib/screens/mortgage/common/mortgage_landing_view.dart:90 | in_en=no | hjhgjhj
lib/screens/mortgage/common/mortgage_landing_view.dart:96 | in_en=yes | Calculator
lib/screens/mortgage/common/mortgage_landing_view.dart:111 | in_en=yes | What we offer
lib/screens/mortgage/common/mortgage_landing_view.dart:154 | in_en=yes | New purchase
lib/screens/mortgage/common/mortgage_landing_view.dart:155 | in_en=yes | Final Payment
lib/screens/mortgage/common/mortgage_landing_view.dart:156 | in_en=yes | Buyout for Mortgage loan
lib/screens/mortgage/common/mortgage_landing_view.dart:157 | in_en=yes | Refinance your property with equity cash
lib/screens/mortgage/common/mortgage_landing_view.dart:158 | in_en=yes | Plot and land purchase
lib/screens/mortgage/common/mortgage_landing_view.dart:159 | in_en=yes | Under construction residential properties
lib/screens/mortgage/common/mortgage_landing_view.dart:160 | in_en=yes | Final Payment Financing
lib/screens/mortgage/common/property_details_view.dart:28 | in_en=yes | Property Details
lib/screens/mortgage/common/property_details_view.dart:32 | in_en=yes | Property Type
lib/screens/mortgage/common/property_details_view.dart:39 | in_en=yes | Property Type
lib/screens/mortgage/common/property_details_view.dart:45 | in_en=yes | Villa
lib/screens/mortgage/common/property_details_view.dart:64 | in_en=yes | Property Location
lib/screens/mortgage/common/property_details_view.dart:71 | in_en=yes | Property Location
lib/screens/mortgage/common/property_details_view.dart:78 | in_en=yes | Abu Dhabi
lib/screens/mortgage/common/property_details_view.dart:98 | in_en=yes | Property Condition
lib/screens/mortgage/common/property_details_view.dart:111 | in_en=yes | New
lib/screens/mortgage/common/property_details_view.dart:136 | in_en=yes | Next
lib/screens/mortgage/common/mortgage_information_view.dart:23 | in_en=yes | Apply in just minutes.
lib/screens/mortgage/common/mortgage_information_view.dart:51 | in_en=no | hjhgjhj
lib/screens/mortgage/common/mortgage_information_view.dart:55 | in_en=yes | Apply
lib/screens/mortgage/common/mortgage_information_view.dart:66 | in_en=yes | All Documents must be in PDF or clear image format.
lib/screens/mortgage/common/mortgage_information_view.dart:67 | in_en=yes | Make sure all documents are valid and not expired.
lib/screens/mortgage/common/mortgage_information_view.dart:68 | in_en=yes | Additional documents may be requested if needed.
lib/screens/mortgage/common/apply_as_view.dart:25 | in_en=yes | Transactions based on
lib/screens/mortgage/common/apply_as_view.dart:33 | in_en=yes | Salary
lib/screens/mortgage/common/apply_as_view.dart:35 | in_en=yes | Salary
lib/screens/mortgage/common/apply_as_view.dart:41 | in_en=yes | Self Employed
lib/screens/mortgage/common/apply_as_view.dart:43 | in_en=yes | Self Employed
